# name: UN-dataset
# source: UN Data for SDGs revisions2.csv
# importDate: 2023-02-22T12:53:58.515Z
# description: undefined
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Boundary, type: boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
Country,Region,Average Life Expectancy,Internet Users,Total Count of Medical Doctors,Urban Living,Forested Area,Average GNP per Person,Share of Income Owned by Top 1%,Boundary
Afghanistan,Asia,64.8,13.5,30000,25.8,2,"2,202",..,[object Object]
Albania,Europe,78.6,71.8,120000,61.2,28,"13,962",8,[object Object]
Algeria,Africa,76.9,59.6,170000,73.2,1,"11,350",10,[object Object]
Andorra,Europe,81.9,91.6,330000,88.0,34,..,..,[object Object]
Angola,Africa,61.2,14.3,20000,66.2,46,"6,654",15,[object Object]
Antigua and Barbuda,Caribbean,77,76.0,300000,24.5,22,"21,908",..,[object Object]
Argentina,South America,76.7,74.3,400000,92.0,10,"22,034",..,[object Object]
Armenia,Asia,75.1,64.7,440000,63.2,12,"13,654",..,[object Object]
Australia,Oceania,83.4,86.5,370000,86.1,16,"49,756",9,[object Object]
Austria,Europe,81.5,87.7,520000,58.5,47,"56,352",9,[object Object]
Azerbaijan,Asia,73,79.8,350000,56.0,14,"14,404",..,[object Object]
Bahamas,Caribbean,73.9,85.0,200000,83.1,51,"35,783",..,[object Object]
Bahrain,Asia,77.3,98.6,90000,89.4,1,"45,026",18,[object Object]
Bangladesh,Asia,72.6,15.0,60000,37.4,11,"4,754",..,[object Object]
Barbados,Caribbean,79.2,81.8,250000,31.2,15,"15,639",..,[object Object]
Belarus,Europe,74.8,79.1,520000,79.0,43,"19,150",..,[object Object]
Belgium,Europe,81.6,88.7,310000,98.0,23,"51,708",8,[object Object]
Belize,Central America,74.6,47.1,110000,45.9,60,"7,005",..,[object Object]
Benin,Africa,61.8,20.0,10000,47.9,38,"3,287",18,[object Object]
Bhutan,Asia,71.8,48.1,40000,41.6,73,"11,345",..,[object Object]
Bolivia,South America,71.5,43.8,160000,69.8,50,"8,724",..,[object Object]
Bosnia and Herzegovina,Europe,77.4,70.1,220000,48.6,43,"14,895",9,[object Object]
Botswana,Africa,69.6,47.0,50000,70.2,19,"17,766",23,[object Object]
Brazil,South America,75.9,67.5,220000,86.8,59,"14,652",28,[object Object]
Brunei,Asia,75.9,94.6,160000,77.9,72,"62,100",..,[object Object]
Bulgaria,Europe,75.1,64.8,400000,75.3,35,"23,091",13,[object Object]
Burkina Faso,Africa,61.6,16.0,10000,30.0,19,"2,190",14,[object Object]
Burundi,Africa,61.6,2.7,10000,13.4,10.9,752,14.6,[object Object]
Cambodia,Asia,69.8,40.0,20000,23.8,53,"4,389",..,[object Object]
Cameroon,Africa,59.3,23.2,10000,57.0,39,"3,653",16,[object Object]
Canada,North America,82.4,91.0,260000,81.5,38,"49,031",14,[object Object]
Cape Verde,Africa,73,58.2,80000,66.2,23,"7,172",..,[object Object]
Central African Republic,Africa,53.3,4.3,7000,41.8,35.6,945,30.9,[object Object]
